oznaka,naziv,naselje,opcina,zupanija,klasifikacija,status,vrijeme_nastanka
RST-0583-1971.,Crkva sv. Križa,Blato,BLATO,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-7083,Crkva sv. Mihovila,Blato,BLATO,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st.
Z-958,Crkva sv. Ane,Podimoć,DUBROVAČKO PRIMORJE,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,13. st. do 16. st.
Z-2463,Crkva sv. Ivana Krstitelja,Slano,DUBROVAČKO PRIMORJE,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,16. st.
Z-971,Crkva sv. Ivana Krstitelja,Trnova,DUBROVAČKO PRIMORJE,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-972,Crkva sv. Ivana s grobljem,Trnovica,DUBROVAČKO PRIMORJE,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st. do 18. st.
Z-957,Crkva sv. Križa s grobljem,Podgora,DUBROVAČKO PRIMORJE,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,19. st. do 20. st.
Z-1751,Crkva sv. Mihajla,Imotica,DUBROVAČKO PRIMORJE,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st. do 16. st.
Z-974,Crkva sv. Nikole,Trnovica,DUBROVAČKO PRIMORJE,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-962,Crkva sv. Roka,Slano,DUBROVAČKO PRIMORJE,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,16. st.
ZDU-48-1963.,Benediktinski samostan s crkvom sv. Jakova na Višnjici,Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,
RST-1170-1986.,Benediktinski samostan s crkvom sv. Mihovila Pećinskog i crkvom Velike Gospe,Suđurađ,DUBROVNIK,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,
Z-924,Crkva Gospe od Milosrđa,Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-1612,Crkva Navještenja,Komolac,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st.
Z-5917,Crkva Navještenja,Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,16. st.
Z-981,Crkva Navještenja s grobljem,Zaton,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-6019,Crkva Rozario i bratimska kuća,Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,1594. god. do 1659. god.
RST-1168-1986.,Crkva Sv. Spasa (Suspas),Šipanska Luka,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,16. st.
Z-4391,Crkva i groblje sv. Mihajla,Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,13. st.
Z-4586,Crkva sv. Barbare,Suđurađ,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-4578,Crkva sv. Ivana Krstitelja,Lopud,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-4031,Crkva sv. Ivana Krstitelja,Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,17. st.
Z-508,Crkva sv. Ivana Krstitelja,Suđurađ,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-6490,Crkva sv. Josipa,Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,17. st.
RST-1273-1986.,Crkva sv. Katarine,Lopud,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,17. st.
Z-4581,Crkva sv. Križa,Lopud,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,16. st.
Z-4030,Crkva sv. Lazara,Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-6413,Crkva sv. Margarite,Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,16. st.
Z-977,Crkva sv. Mihajla,Trsteno,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,17. st.
Z-510,Crkva sv. Mihajla nad morem,Šipanska Luka,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-5980,Crkva sv. Nikole,Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,11. st. do 17. st.
Z-976,Crkva sv. Nikole,Trsteno,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-4579,Crkva sv. Nikole Grčkog,Lopud,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-7252,Crkva sv. Roka,Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,16. st.
Z-7393,Crkva sv. Sebastijana,Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st.
Z-5288,Crkva sv. Spasa,Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,16. st.
Z-5485,Crkva sv. Spasa s grobljem,Bosanka,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,16. st.
Z-3631,Crkva sv. Stjepana,Sustjepan,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-979,Crkva sv. Stjepana s grobljem,Zaton,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st. do 19. st.
Z-2428,Crkva sv. Tripuna,Komolac,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,16. st.
Z-506,Crkva sv. Trojice,Suđurađ,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-4580,Crkva sv. Trojstva,Lopud,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,17. st.
Z-6220,Crkva sv. Vlaha,Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-926,Crkva sv. Vlaha na Gorici,Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,13. st. do 19. st.
Z-937,Crkva sv. Đurđa s grobljem,Ljubač,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-952,Crkva sv. Đurđa s grobljem i stećcima,Orašac,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-7297,Crkveno grobišni kompleks Tri crkve,Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,13. st. do 20. st.
Z-7395,Dominikanski samostan s crkvom sv. Dominika,Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,
Z-6443,Katedrala Gospe Velike,Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,17. st. do 18. st.
Z-5287,Kompleks samostana sv. Katarine Sijenske,Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1667. god.
Z-3271,Ladanjski kompleks s crkvom sv. Križa,Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,17. st.
Z-5482,Ljetnikovac Dražić s kapelicom - Biskupija,Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,18. st.
RST-1234-1986.,Palača Sorkočević (Biskupska palača),Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,
ZDU-16 (16-16),Samostan Male braće s crkvom sv. Frana,Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,
Z-1613,Samostan i crkva Pohođenja Marijina,Rožat,DUBROVNIK,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,16. st.
Z-4114,Samostan i crkva sv. Križa,Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,15. st.
RST-1226-1986.,Samostan i crkva sv. Marije od Kaštela,Dubrovnik,DUBROVNIK,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,
Z-941,Samostan i crkva sv. Nikole,Lopud,DUBROVNIK,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,15. st. do 16. st.
Z-1614,Samostanski kompleks s crkvom Gospe od Špilica,Lopud,DUBROVNIK,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,15. st.
Z-4484,Crkva sv. Ivana Krstitelja Glavosijeka s grobljem,Ljuta,KONAVLE,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st. do 18. st.
Z-4481,Crkva sv. Petra Apostola sa srednjovjekovnim grobljem,Pločice,KONAVLE,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st. do 19. st.
Z-978,Crkva sv. Spasa s grobljem,Vitaljina,KONAVLE,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st. do 20. st.
Z-1745,Ljetnikovac Pucić (Stara škola) s kapelom sv. Lucije,Čilipi,KONAVLE,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,16. st.
Z-1740,Samostan i crkva Gospe od Snijega,Cavtat,KONAVLE,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,15. st.
Z-4861,Crkva Gospojine,Korčula,KORČULA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st.
Z-4919,Crkva Navještenja,Korčula,KORČULA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,1582. god.
Z-6807,Crkva Pomoćnice kršćana,Račišće,KORČULA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-4854,Crkva sv. Antuna,Korčula,KORČULA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st. do 17. st.
Z-4921,Crkva sv. Filipa i Jakova,Žrnovo,KORČULA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,16. st.
Z-4924,Crkva sv. Jurja,Pupnat,KORČULA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-4922,Crkva sv. Mihovila,Žrnovo,KORČULA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-4860,Crkva sv. Petra,Korčula,KORČULA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st.
Z-6627,Opatski dvor,Korčula,KORČULA,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1876. god. do 1880. god.
Z-5517,Ruševine crkve sv. Barbare na otoku Sutvara,Korčula,KORČULA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,6. st.
RST-0049-1962.,Samostan i crkva Gospe od Milosrđa na Badiji,Korčula,KORČULA,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,15. st. do 20. st.
Z-4918,Samostan s crkvom sv. Nikole,Korčula,KORČULA,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,15. st.
RST-1111-1982.,Crkva Gospe na Grži,Lastovo,LASTOVO,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st.
Z-5683,Crkva sv. Barbare,Lastovo,LASTOVO,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st.
Z-5799,Crkva sv. Ilije,Lastovo,LASTOVO,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st.
RST-1257-1986.,Crkva sv. Kuzme i Damjana,Lastovo,LASTOVO,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st. do 16. st.
Z-5567,Crkva sv. Marka,Lastovo,LASTOVO,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,16. st.
Z-5566,Crkva sv. Nikole,Lastovo,LASTOVO,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st. do 16. st.
Z-5513,Crkva sv. Roka,Lastovo,LASTOVO,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,16. st.
Z-5573,Crkva sv. Spasa,Lastovo,LASTOVO,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,16. st. do 18. st.
RST-1154-1986.,Crkva sv. Vincenca,Lastovo,LASTOVO,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st.
RST-1283-1986.,Crkva sv. Vlaha,Lastovo,LASTOVO,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st. do 18. st.
Z-4864,Crkva sv. Bartula,Lumbarda,LUMBARDA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-4852,Crkva sv. Križa,Lumbarda,LUMBARDA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,1776. god.
Z-4759,Crkva sv. Petra i Pavla,Lumbarda,LUMBARDA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-6149,Crkva sv. Andrije,Babino Polje,MLJET,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,12. st. do 15. st.
Z-2461,Crkva sv. Mihajla,Babino Polje,MLJET,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,11. st. do 14. st.
Z-948,Samostan i crkva sv. Marije,Goveđari,MLJET,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,12. st. do 16. st.
Z-6394,Crkva sv. Trojstva,Kučište,OREBIĆ,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,1752. god.
Z-4619,Franjevački samostan i crkva Gospe od Loreta - Delorita,Kuna Pelješka,OREBIĆ,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-1403,Samostan i crkva Gospe od Anđela,Orebić,OREBIĆ,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,
Z-6030,Crkva sv. Jurja s ostatcima antičke villae rusticae,Baćina,PLOČE,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st. do 18. st.
Z-5325,Crkva sv. Mihovila,Smokvica,SMOKVICA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-4560,Brijeg Gradac s crkvom sv. Mihajla i samostanom dominikanki,Ston,STON,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,
Z-966,Crkva sv Đurđa,Sparagovići,STON,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,11. st. do 12. st.
Z-1758,Crkva sv. Andrije,Ston,STON,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st. do 16. st.
RST-0022-1962.,Crkva sv. Jeronima,Ston,STON,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
RST-1192-1986.,Franjevački samostan i crkva sv. Nikole,Ston,STON,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,14. st. do 15. st.
Z-4765,Ostaci crkve sv. Ivana,Ston,STON,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,12. st.
RST-0069-1963.,Ostaci crkve sv. Srđa,Ston,STON,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st.
Z-4620,Crkva sv. Roka s grobljem,Trpanj,TRPANJ,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,16. st. do 19. st.
Z-4856,Arheološko nalazište Gradina sa crkvom sv. Ivana Krstitelja,Vela Luka,VELA LUKA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-6588,Crkva sv. Kuzme i Damjana s arheološkim nalazištem,Vela Luka,VELA LUKA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,11. st. do 15. st.
Z-5292,Crkva sv. Vinćenta,Vela Luka,VELA LUKA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,1589. god.
Z-967,Crkva Presvetog Srca Isusova,Srebreno,ŽUPA DUBROVAČKA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,1913. god.
Z-929,Crkva sv. Ane (stara),Gornji Brgat,ŽUPA DUBROVAČKA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st.
Z-930,Crkva sv. Ivana Krstitelja,Gornji Brgat,ŽUPA DUBROVAČKA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st.
Z-956,Crkva sv. Ivana Krstitelja,Plat,ŽUPA DUBROVAČKA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-917,Crkva sv. Luke s grobljem,Čibača,ŽUPA DUBROVAČKA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-1744,Crkva sv. Mateja,Čibača,ŽUPA DUBROVAČKA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st. do 16. st.
Z-1760,Crkva sv. Mihajla,Čibača,ŽUPA DUBROVAČKA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,16. st. do 17. st.
Z-936,Crkva sv. Stjepana s grobljem,Kupari,ŽUPA DUBROVAČKA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,13. st. do 19. st.
Z-6529,Crkva sv. Đurđa sa srednjovjekovnim grobljem kod Buića,Petrača,ŽUPA DUBROVAČKA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,6. st. do 20. st.
Z-945,Kapela Gospe od Rozarija,Mlini,ŽUPA DUBROVAČKA,Dubrovačko-neretvanska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-914,Samostan i crkva sv. Vićenca (Vinka),Čelopeci,ŽUPA DUBROVAČKA,Dubrovačko-neretvanska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,17. st.
Z-706,Crkva Blažene Djevice Marije,Brezovica,GRAD ZAGREB,Grad Zagreb,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-2282,Crkva Blažene Djevice Marije i župni dvor,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1885. god. do 1901. god.
Z-1471,Crkva Majke Božje Žalosne,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralna graditeljska baština,zaštićeno kulturno dobro,1763. god.
Z-1474,Crkva Pohoda Blažene Djevice Marije,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-719,Crkva Uznesenja Blažene Djevice Marije,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralna graditeljska baština,zaštićeno kulturno dobro,1758. god.
