oznaka,naziv,naselje,opcina,zupanija,klasifikacija,status,vrijeme_nastanka
Z-1316,Crkva Uznesenja Blažene Djevice Marije i samostan u Remetama,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1272. god. do 1908. god.
Z-3571,Crkva sv. Antuna,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralna graditeljska baština,zaštićeno kulturno dobro,1926. god.
Z-721,Crkva sv. Barbare,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralna graditeljska baština,zaštićeno kulturno dobro,1700. god. do 1703. god.
Z-1478,Crkva sv. Franje Ksaverskog,Vugrovec Donji,GRAD ZAGREB,Grad Zagreb,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-488,Crkva sv. Ivana Krstitelja,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralna graditeljska baština,zaštićeno kulturno dobro,1795. god. do 1800. god.
Z-2387,Crkva sv. Jakova na Velikom Plazuru,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralna graditeljska baština,zaštićeno kulturno dobro,1847. god.
Z-717,Crkva sv. Jurja,Planina Donja,GRAD ZAGREB,Grad Zagreb,sakralna graditeljska baština,zaštićeno kulturno dobro,13. st.
Z-716,Crkva sv. Jurja,Odra,GRAD ZAGREB,Grad Zagreb,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st. do 18. st.
Z-712,Crkva sv. Klare,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralna graditeljska baština,zaštićeno kulturno dobro,1768. god.
Z-182,Crkva sv. Marka Evanđelista,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st.
Z-709,"Crkva sv. Marka Evanđelista, Jakuševac",Zagreb,GRAD ZAGREB,Grad Zagreb,sakralna graditeljska baština,zaštićeno kulturno dobro,1832. god.
Z-718,Crkva sv. Martina,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralna graditeljska baština,zaštićeno kulturno dobro,10. st. do 19. st.
Z-671,Crkva sv. Martina i salezijanski samostan,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,17. st. do 20. st.
Z-723,Crkva sv. Mihaela Arhanđela,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralna graditeljska baština,zaštićeno kulturno dobro,1610. god. do 1899. god.
Z-2386,Crkva sv. Roka,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-458,Crkva sv. Roka,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralna graditeljska baština,zaštićeno kulturno dobro,1647. god.
Z-333,Evangelička crkva sa župnim dvorom,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1882. god. do 1884. god.
Z-184,"Isusovački samostan (Galerija ""Klovićevi dvori""), Jezuitski trg 4",Zagreb,GRAD ZAGREB,Grad Zagreb,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,17. st. do 18. st.
Z-204,"Kanonička kurija, Kaptol 3",Zagreb,GRAD ZAGREB,Grad Zagreb,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,17. st.
Z-6957,"Kapela sv. Križa, Ilirski trg",Zagreb,GRAD ZAGREB,Grad Zagreb,sakralna graditeljska baština,zaštićeno kulturno dobro,1893. god.
Z-681,Kompleks arkada s crkvom Krista Kralja,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1879. god. do 1933. god.
Z-724,Kompleks crkve i samostana sv. Franje Ksaverskog,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1748. god. do 1939. god.
Z-4468,Kompleks crkve sv. Marije Pomoćnice i Omladinskog doma Salezijanaca,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1929. god. do 1965. god.
Z-615,Kompleks crkve sv. Ćirila i Metoda i grkokatoličko sjemenište,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1768. god. do 1830. god.
Z-1314,Kompleks sakralnih građevina u Markuševcu,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1328. god.
Z-3447,"Kurija s perivojem i kapela, Luje Naletilića 84",Botinec,GRAD ZAGREB,Grad Zagreb,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,19. st.
Z-720,"Kurija župnog dvora, Vrapčanska 113",Zagreb,GRAD ZAGREB,Grad Zagreb,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1806. god.
Z-682,Mrtvačnica na Mirogoju,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1884. god. do 1886. god.
Z-219,"Palača Nadbiskupskog sjemeništa, Kaptol 29",Zagreb,GRAD ZAGREB,Grad Zagreb,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,16. god. do 19. god.
Z-2653,Poklonac sv. Izidora,Odra,GRAD ZAGREB,Grad Zagreb,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-3935,Raspelo na križanju Dobrodolskog i Novog puta,Dobrodol,GRAD ZAGREB,Grad Zagreb,sakralna graditeljska baština,zaštićeno kulturno dobro,1915. god.
Z-3570,"Raspelo, Trg Dragutina Domjanića",Sesvete,GRAD ZAGREB,Grad Zagreb,sakralna graditeljska baština,zaštićeno kulturno dobro,20. st.
Z-331,Samostan sestara milosrdnica s crkvom sv. Vinka Paulskoga,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1841. god. do 1845. god.
Z-500,"Zgrada Kolegija Družbe Isusove, Jordanovac 110",Zagreb,GRAD ZAGREB,Grad Zagreb,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1929. god. do 1930. god.
Z-640,Župni dvor crkve sv. Marka Evanđelista,Zagreb,GRAD ZAGREB,Grad Zagreb,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1706. god.
Z-2651,"Župni dvor, Golobreška 21",Brezovica,GRAD ZAGREB,Grad Zagreb,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1906. god.
Z-711,"Župni dvor, Kašina bb",Kašina,GRAD ZAGREB,Grad Zagreb,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,13. st. do 19. st.
Z-3668,Crkva sv. Maura,Bale,BALE - VALLE,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,6. st. do 17. st.
Z-4812,Crkva sv. Nikole,Bale,BALE - VALLE,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st.
Z-2198,Crkva sv. Antuna,Barban,BARBAN,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-1304,Crkva sv. Jakova,Barban,BARBAN,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-7361,Crkva svetog Ivana Krstitelja (sv. Ivanac nad Rašom),Sutivanac,BARBAN,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-1838,Crkva sv. Duha,Štrped,BUZET,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-1341,Crkva sv. Trojstva,Račice,BUZET,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-7380,Ruševine crkve sv. Marije,Račice,BUZET,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-7362,Crkva Blažene Djevice Marije „kod Lokve“,Gologorica,CEROVLJE,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st. do 15. st.
Z-866,Crkva sv. Elizeja,Fažana,FAŽANA - FASANA,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,6. st.
Z-588,Crkva sv. Ilije,Kanfanar,KANFANAR,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,12. st. do 15. st.
Z-2479,Crkva sv. Trojstva,Labinci,KAŠTELIR-LABINCI - CASTELLIERE-S. DOMENICA,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-4015,Bivši pavlinski samostan sv. Marije,Kršan,KRŠAN,Istarska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,13. st. do 18. st.
Z-360,Crkva sv. Jurja Starog,Plomin,KRŠAN,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,11. st. do 16. st.
Z-1380,Crkva sv. Kvirina na groblju,Jesenovik,KRŠAN,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,12. st. do 16. st.
Z-354,Crkva sv. Kuzme i Damjana,Labin,LABIN,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st. do 17. st.
Z-2199,Crkva sv. Flora (Cvitka),Pomer,MEDULIN,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,
RRI-447,Samostanski kompleks,Dajla,NOVIGRAD - CITTANOVA,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,
RRI-0235-1970.,Crkva sv. Marije Snježne,Čepić,OPRTALJ - PORTOLE,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st.
Z-358,Crkva sv. Roka,Oprtalj,OPRTALJ - PORTOLE,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,16. st.
Z-856,Crkva sv. Križa,Butoniga,PAZIN,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,
N-6,Crkva sv. Marije na Škriljanah,Beram,PAZIN,Istarska,sakralna graditeljska baština,kulturno dobro od nacionalnog značenja,15. god.
Z-5305,Kompleks franjevačkog samostana s crkvom Pohođenja Blažene Djevice Marije,Pazin,PAZIN,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-584,Crkva sv. Mihovila,Pićan,PIĆAN,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-2433,Istarska sabornica (bivša crkva sv. Franje),Poreč,POREČ - PARENZO,Istarska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,5. st. do 19. st.
Z-2432,Kompleks Eufrazijeve bazilike,Poreč,POREČ - PARENZO,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,4. st. do 14. st.
N-4,Kompleks Eufrazijeve bazilike,Poreč,POREČ - PARENZO,Istarska,sakralna graditeljska baština,kulturno dobro od nacionalnog značenja,4. st. do 14. st.
Z-7332,Arhitektonski sklop dvorca Hütterott (bivšeg samostana sv. Andrije) s crkvom na otoku Svetog Andrije,Rovinj,ROVINJ - ROVIGNO,Istarska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,7. st. do 20. st.
Z-4012,Crkva Blažene Djevice Marije od Milosti,Rovinj,ROVINJ - ROVIGNO,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,1750. god.
Z-7314,Crkva Blažene Djevice Marije od Polja,Rovinj,ROVINJ - ROVIGNO,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,1785. god.
Z-7308,Crkva Blažene Djevice Marije od Zdravlja (Chiesa della B. V. della Salute),Rovinj,ROVINJ - ROVIGNO,Istarska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-1765,Crkva sv. Brigide,Rovinj,ROVINJ - ROVIGNO,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-3105,Crkva sv. Cecilije,Rovinj,ROVINJ - ROVIGNO,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-7312,Crkva sv. Ciprijana,Rovinj,ROVINJ - ROVIGNO,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-361,Crkva sv. Trojstva (Trojice),Rovinj,ROVINJ - ROVIGNO,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-7311,"Sklop župne crkve sv. Jurja i sv. Eufemije sa zvonikom, starim grobljem i arheološkim ostatcima crkve sv. Mihovila",Rovinj,ROVINJ - ROVIGNO,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,17. st. do 19. st.
Z-593,Crkva sv. Martina i Gradska loža,Sveti Lovreč Pazenatički,SVETI LOVREČ,Istarska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,11. st. do 19. st.
Z-3265,Crkva sv. Roka,Sveti Petar u Šumi,SVETI PETAR U ŠUMI,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,1737. god.
Z-868,Crkva sv. Kvirina i ostaci trobrodne predromaničke bazilike,Juršići,SVETVINČENAT,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,8. st. do 17. st.
Z-1307,Crkva sv. Vincenta na groblju,Svetvinčenat,SVETVINČENAT,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,12. st. do 15. st.
Z-4102,Ostaci crkve sv. Križa,Tar,TAR-VABRIGA - TORRE-ABREGA,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-4473,Staro gradsko groblje s ostacima crkve sv. Andrije,Umag,UMAG - UMAGO,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,17. st. do 19. st.
RRI-0100-1965.,Crkva sv. Marije na Božjem polju,Vižinada,VIŽINADA - VISINADA,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st.
Z-859,Crkva sv. Katarine,Vodnjan,VODNJAN - DIGNANO,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,
RRI-0099-1966.,Crkva sv. Martina (kapela),Peroj,VODNJAN - DIGNANO,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-7320,Sklop crkve sv. Antuna Opata i bolnice,Vodnjan,VODNJAN - DIGNANO,Istarska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,13. st. do 20. st.
Z-586,Crkva sv. Antuna,Žminj,ŽMINJ,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,1381. god.
Z-4814,Crkva sv. Jakova,Žminj,ŽMINJ,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,12. st. do 17. st.
Z-362,Kapela sv. Trojstva,Žminj,ŽMINJ,Istarska,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st. do 18. st.
Z-7171,Crkva sv. Arhanđela Mihajla i Gavrila,Perjasica,BARILOVIĆ,Karlovačka,sakralna graditeljska baština,zaštićeno kulturno dobro,1747. god. do 1749. god.
Z-278,Crkva sv. Mateja,Johi,BOSILJEVO,Karlovačka,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st. do 18. st.
Z-4007,Kapela sv. Ivana Krstitelja,Umol,BOSILJEVO,Karlovačka,sakralna graditeljska baština,zaštićeno kulturno dobro,17. st.
Z-6254,Kapela sv. Antuna Pustinjaka,Draganić,DRAGANIĆ,Karlovačka,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st. do 19. st.
Z-274,Kapela sv. Trojstva,Draganić,DRAGANIĆ,Karlovačka,sakralna graditeljska baština,zaštićeno kulturno dobro,17. st. do 19. st.
Z-3093,Crkva sv. Antuna Padovanskog i kapela poklonac,Generalski Stol,GENERALSKI STOL,Karlovačka,sakralna graditeljska baština,zaštićeno kulturno dobro,1829. st.
Z-272,Crkva Uznesenja Marijina,Oštarije,JOSIPDOL,Karlovačka,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st. do 20. st.
Z-3087,Ruševine crkve sv. Nikole i pavlinskog samostana,Modruš,JOSIPDOL,Karlovačka,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,14. st. do 18. st.
Z-3557,Crkva sv. Filipa i Jakova,Reštovo,KAMANJE,Karlovačka,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st. do 19. st.
L-59,Kapela poklonac Srca Isusova,Kamanje,KAMANJE,Karlovačka,sakralna graditeljska baština,kulturno dobro od lokalnog značenja,19. st.
L-60,Poklonac Majke Božje,Reštovo,KAMANJE,Karlovačka,sakralna graditeljska baština,kulturno dobro od lokalnog značenja,19. st.
Z-2715,Crkva Majke Božje Snježne,Karlovac,KARLOVAC,Karlovačka,sakralna graditeljska baština,zaštićeno kulturno dobro,17. st. do 19. st.
Z-268,Crkva Majke Božje Snježne s pavlinskim samostanom,Karlovac,KARLOVAC,Karlovačka,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,15. st. do 19. st.
Z-3552,Crkva sv. Martina,Karlovac,KARLOVAC,Karlovačka,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st. do 19. st.
Z-6658,Kapela sv. Marka,Gornje Stative,KARLOVAC,Karlovačka,sakralna graditeljska baština,zaštićeno kulturno dobro,17. st. do 19. st.
Z-5113,Kurija starog župnog dvora,Vukmanić,KARLOVAC,Karlovačka,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1798. god.
Z-7262,Župna crkva sv. Franje Ksaverskog,Karlovac,KARLOVAC,Karlovačka,sakralna graditeljska baština,zaštićeno kulturno dobro,19. st. do 20. st.
Z-5766,Kapela sv. Josipa i kurija župnog dvora,Završje Netretićko,NETRETIĆ,Karlovačka,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-303,Crkva Blažene Djevice Marije Utješiteljice,Trošmarija,OGULIN,Karlovačka,sakralna graditeljska baština,zaštićeno kulturno dobro,1776. god.
Z-3172,Crkva sv. Petke,Gornje Dubrave,OGULIN,Karlovačka,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st. do 19. st.
Z-4095,Crkva sv. Petra,Sveti Petar,OGULIN,Karlovačka,sakralna graditeljska baština,zaštićeno kulturno dobro,16. st. do 20. st.
Z-3175,Crkva sv. Franje Ksaverskog,Gornji Lović,OZALJ,Karlovačka,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st. do 19. st.
Z-3171,Crkva sv. Jurja,Dojutrovica,OZALJ,Karlovačka,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st. do 20. st.
Z-294,Hram Vavedenija Presvete Bogorodice,Plaški,PLAŠKI,Karlovačka,sakralna graditeljska baština,zaštićeno kulturno dobro,18. god. do 20. god.
Z-3377,Kapela sv. Ane,Griče,RIBNIK,Karlovačka,sakralna graditeljska baština,zaštićeno kulturno dobro,1745. god.
Z-3091,Crkva sv. Marije od Rozarija,Saborsko,SABORSKO,Karlovačka,sakralna graditeljska baština,zaštićeno kulturno dobro,16. st. do 19. st.
Z-7266,Crkva sv. Arhanđela Mihajla,Slunj,SLUNJ,Karlovačka,sakralna graditeljska baština,zaštićeno kulturno dobro,1890. god. do 1900. god.
Z-3413,Crkva sv. Trojstva,Slunj,SLUNJ,Karlovačka,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st. do 19. st.
Z-3329,Crkva Uznesenja Blažene Djevice Marije,Žakanje,ŽAKANJE,Karlovačka,sakralna graditeljska baština,zaštićeno kulturno dobro,1896. god.
Z-2759,Crkva sv. Stjepana Kralja,Torčec,DRNJE,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,1842. god.
Z-821,Crkva Sošestvija sv. Duha,Koprivnica,KOPRIVNICA,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,1793. god.
Z-2760,Crkva sv. Andrije,Jagnjedovec,KOPRIVNICA,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,1835. god.
Z-820,Crkva sv. Nikole sa župnim dvorom,Koprivnica,KOPRIVNICA,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,1675. god.
Z-819,Kompleks franjevačkog samostana s crkvom sv. Antuna,Koprivnica,KOPRIVNICA,Koprivničko-križevačka,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,17. st. do 19. st.
Z-2643,Stara bolnica s kapelom sv. Florijana i pilom Trpećeg Krista,Koprivnica,KOPRIVNICA,Koprivničko-križevačka,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1875. god.
Z-2929,Crkva sv. Velikomučenika Georgija,Glogovac,KOPRIVNIČKI BREGI,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-1899,Crkva sv. Katarine,Erdovec,KRIŽEVCI,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,20. st.
Z-2078,Crkva sv. Križa,Križevci,KRIŽEVCI,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st. do 20. st.
RZG-0549-1969.,Crkva sv. Ladislava,Mali Raven,KRIŽEVCI,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st. do 19. st.
Z-2075,Crkva sv. Marka Križevčanina,Križevci,KRIŽEVCI,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,17. st.
Z-1782,Crkva sv. Nikolaja,Osijek Vojakovački,KRIŽEVCI,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,1763. god.
Z-1781,Crkva sv. Petra,Apatovec,KRIŽEVCI,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,19. st.
RZG-0547-1969.,Crkva sv. Vida,Sveta Helena,KRIŽEVCI,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st. do 18. st.
Z-3383,Crkva sv. Jelene,Kutnjak,LEGRAD,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st. do 19. st.
Z-3201,Crkva sv. Martina,Zablatje,LEGRAD,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,1878. god.
Z-3262,Crkva Žalosne Gospe,Legrad,LEGRAD,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,1840. god.
Z-2761,Crkva sv. Četverodnevnog Lazara,Plavšinac,NOVIGRAD PODRAVSKI,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st. do 19. st.
Z-3073,Crkva sv. Kuzme i Damjana i stari župni dvor,Kuzminec,RASINJA,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st.
RZG-0548-1969.,Crkva sv. Margarete,Subotica Podravska,RASINJA,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,1846. god.
Z-3378,Crkva sv. Trojice,Duga Rijeka,RASINJA,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-3261,Pil Presvetog Trojstva,Cvetkovec,RASINJA,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-3039,Crkva sv. Arhangela Mihajla,Velika Mučna,SOKOLOVAC,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,1740. god.
Z-3928,Crkva sv. Arhanđela Stevana,Mali Poganac,SOKOLOVAC,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,1777. god.
Z-3927,Crkva sv. Ilije,Široko Selo,SOKOLOVAC,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,1770. god.
RZG-0522-1969.,Crkva sv. Julijane,Trema,SVETI IVAN ŽABNO,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,16. st. do 17. st.
Z-3115,Crkva sv. Marije od Pohoda i župni dvor,Cirkvena,SVETI IVAN ŽABNO,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-3379,Crkva sv. Antuna i ostaci kaštela - dvorca s gospodarskim posjedom,Guščerovec,SVETI PETAR OREHOVEC,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,1822. god.
Z-2987,Crkva sv. Martina,Virje,VIRJE,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,1833. god.
Z-3550,Crkva Žalosne Gospe,Mičetinac,ĐURĐEVAC,Koprivničko-križevačka,sakralna graditeljska baština,zaštićeno kulturno dobro,1888. god.
Z-2089,Crkva Majke Božje Žalosne,Sveti Križ,BUDINŠČINA,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,16. st. do 18. st.
Z-2081,Crkva sv. Ane i župni dvor,Desinić,DESINIĆ,Krapinsko-zagorska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,19. st.
Z-3515,Crkva sv. Marije Snježne,Dubovec,GORNJA STUBICA,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-2491,Kapela sv. Fabijana i Sebastijana,Slani Potok,GORNJA STUBICA,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,17. st. do 19. st.
Z-3523,Pil sv. Marka,Domovec,HRAŠĆINA,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,1645. god.
Z-3522,Pil sv. Trojstva,Vrbovo,HRAŠĆINA,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,1740. god.
Z-6729,Poklonac sv. Ane Samotreće s uzidanom rimskom stelom,Hrašćina,HRAŠĆINA,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,17. st. do 19. st.
Z-2240,Crkva Majke Božje Jeruzalemske,Trški Vrh,KRAPINA,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-2920,Crkva sv. Jurja,Lepajci,KRAPINA,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,1905. god.
Z-7055,Grobna kapela obitelji Lovrec,Krapina,KRAPINA,Krapinsko-zagorska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,19. st.
Z-3516,Kapela sv. Tri kralja,Tkalci,KRAPINA,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,16. st.
Z-3486,Župni dvor,Krapina,KRAPINA,Krapinsko-zagorska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-2233,Crkva Blažene Djevice Marije,Klupci-dio,KRAPINSKE TOPLICE,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,17. st.
Z-2362,Crkva sv. Antuna,Lobor,LOBOR,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-2844,Kapela sv. Petra,Petrova Gora,LOBOR,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st. do 18. st.
Z-2363,Crkva sv. Ladislava,Podgorje Bistričko,MARIJA BISTRICA,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st. do 19. st.
Z-2361,Crkva sv. Marije Bistričke,Marija Bistrica,MARIJA BISTRICA,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st. do 19. st.
Z-3518,Crkva sv. Marije Magdalene,Hum Bistrički,MARIJA BISTRICA,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,16. st. do 19. st.
Z-2490,Kapela sv. Roka,Tugonica,MARIJA BISTRICA,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st. do 19. st.
Z-2847,Kapela sv. Margarete,Peršaves,MAČE,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,17. st.
Z-3513,Kapela sv. Marije Magdalene,Kuzminec,MIHOVLJAN,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st.
Z-2227,Crkva sv. Petra,Krušljevo Selo,OROSLAVJE,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,19. st.
Z-2494,Crkva sv. Benedikta,Petrovsko,PETROVSKO,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st.
