zupa,spojena_crkva,google_naziv,google_adresa,udaljenost_m,our_lat,our_lng,place_lat,place_lng
"MILOSRDNE SESTRE SV. KRIŽA, SAMOSTAN RIJEKA-SUŠAK",crkva Svetog Križa,Samostan Sestara Milosrdnica,"Ul. dr. Frana Kresnika 15, 51000, Rijeka",4843.0,45.3546697,14.3755467,45.3349891,14.430828399999998
SAMOSTAN SLUŽBENICA MILOSRĐA,Samostan službenica milosrđa,Samostan Kćeri Milosrđa TSR Sv. Franje,"Ul. Šestinski vijenac 3, 10000, Zagreb",4815.8,45.8115626,15.9266515,45.8513105,15.9513372
ŽUPA SV. ANE,crkva svete Ane,ŽUPNI URED SV. ANE,"Ul. Matije Gupca 62, 31543, Radikovci",4595.8,45.6937299,18.2164376,45.713866599999996,18.2681207
"ŽUPA VELIKE GOSPE, DUBROVNIK",Crkva Velike Gospe,Župni ured Velike Gospe (Katedrala),"Ul. kneza Damjana Jude 1, 20000, Dubrovnik",3986.5,42.6734002,18.1287044,42.6400019,18.1109825
ŽUPA SV. NIKOLE B.,crkva svetog Nikole,"Župa sv. Nikole biskupa, Rijeka","Ul. Giuseppea Smolikara 22, 51000, Rijeka",3409.3,45.3258412,14.442844,45.3379507,14.4027759
ŽUPA SV. BARBARE DJ. I MČ.,crkva svete Barbare,Crkva sv. Lucije,"Sveta Lucija 31, 51221, Kostrena",3175.9,45.2909268,14.5349045,45.30607930000001,14.5004849
SAMOSTAN KĆERI MILOSRĐA TREĆEG REDA SV. FRANJE,Crkva svetog Franje,Crkva Gospa od Milosrđa,"Šijanska cesta 127, 52100, Pula",3030.4,44.8698355,13.8438011,44.8870675,13.8735968
ŽUPA GOSPE OD MILOSRĐA,Kapela Gospe od Mira,Crkva Gospe od Milosrđa,"Put Svetog Lovre 10c, 21000, Split",2747.6,43.5032997,16.5210867,43.508817799999996,16.4878791
"ŽUPA SV. MIHOVILA, VIGANJ",crkva svetog Mihovila,Crkva sv. Ivan,"20267, Viganj",2612.1,42.9853229,17.0999322,42.984985099999996,17.067823399999998
FRANJEVAČKA PROVINCIJA PRESVETOG OTKUPITELJA - SAMOSTAN SPLIT,Crkva Presvetog Otkupitelja,Franjevačka Provincija Presvetog Otkupitelja,"Trg Gaje Bulata 3, 21000, Split",2259.3,43.5037514,16.464195,43.5112932,16.4381815
"MILOSRDNE SESTRE SV. KRIŽA, SAMOSTAN OSIJEK",Crkva sv. Križa,Samostan sestara milosrdnica,"Krstova ul. 10, 31000, Osijek",1683.2,45.5612072,18.6972823,45.557178199999996,18.7181216
"ŽUPA SV. MARKA, EV., KORČULA",katedrala svetog Marka,Pastoralni centar župe sv. Marka,"Put Svetog Antuna 5, 20260, Korčula",1673.2,42.9616431,17.136141,42.9466787,17.1383027
ŽUPA SV. HADRIJANA,crkva svetog Hadrijana mučenika,Crkva sv. Hadrijan,"52233, Kožljak",1659.3,45.1818184,14.1810511,45.194496199999996,14.192220299999999
ŽUPA KRISTA KRALJA - OSIJEK,Župa Krista Kralja,Crkva Svetog Križa,"Franjevačka ul., 31000, Osijek",1489.1,45.5477992,18.6960644,45.561169799999995,18.6971369
ŽUPA BLAŽENE DJEVICE MARIJE - GOSPE LURDSKE,kapela Blažene Djevice Marije,Župa Blažene Djevice Marije Gospe Lurdske,"Zvijerci 77A, 43000, Bjelovar",1468.0,45.922568,16.8831561,45.923508999999996,16.8642259
"MILOSRDNE SESTRE SV. KRIŽA, SAMOSTAN VELI LOŠINJ",Crkva Svetog Križa,Križ,"51551, Veli Lošinj",1414.4,44.5235354,14.502003,44.511255399999996,14.497352399999999
ŽUPA SV. JOSIPA RADNIKA,crkva svetog Josipa Radnika,Župa Sv. Josipa Radnika,"Lička ul. 23A, 32000, Vukovar",1375.8,45.3794155,18.9595418,45.378603299999995,18.941965200000002
ŽUPA BLAŽENOG ALOJZIJA STEPINCA,crkva blaženog Alojzija Stepinca,Crkva Gospe Brze Pomoći,"Ul. Petra Krešimira IV 55, 35000, Slavonski Brod",1299.8,45.1585389,18.0350986,45.153556699999996,18.020103799999998
ŽUPA SV. PETRA APOSTOLA,crkva svetog Petra apostola,Župa Sv. Petra Apostola,"Ul. Pavla Štoosa 2, 10290, Zaprešić",1209.5,45.8506328,15.8103612,45.8602402,15.803037799999997
SVETIŠTE MAJKE BOŽJE GORIČKE BAŠKA,Svetište Majke Božje Goričke,Crkva Majka Božja,"51523, Batomalj",1189.2,44.969444444,14.731666666,44.9779641,14.722529199999999
ŽUPA SV. STJEPANA POD BOROVIMA,Crkva svetog Stjepana,Crkva i Samostan sv. Frane,"Trg Franje Tuđmana 1, 21000, Split",1153.3,43.5010666,16.4251952,43.508226,16.435541
SAMOSTAN SV. ANE - SPLIT,crkva svete Ane,Samostan sv. Ana,"Milićeva ul. 6, 21000, Split",1126.6,43.505698,16.4468501,43.5097162,16.434026
ŽUPA SV. MIHOVILA ARK. NEVIĐANE,crkva svetog Mihovila,Crkva Srce Isusovo,"Neviđane 90, 23264, Neviđane",970.1,43.9732209,15.3525312,43.9776305,15.342070600000001
ŽUPA SV. MIHOVILA ARK. VRANA,crkva svetog Mihovila,"Župni ured svetog Mihovila,arkanđela - Vrana","Put Svetog Mihovila 2, 23211, Vrana",837.6,43.9465047,15.5533904,43.95094170000001,15.5449355
