id,slug,naziv,tip,titular,religija,konfesija,adresa,mjesto,naselje,opcina,zupanija,lat,lng,zupa,zupa_oib,biskupija,zupna_crkva,oznaka_zastite,status_zastite,godina,arhitekt,stil,telefon,email,web,osm_type,osm_id,wikidata_id,wikipedia_url,commons_image,izvori
6239,sv-juraj-durdic-w1304712154,Crkva sv. Juraj,crkva,sv. Juraj,christian,,,,Đurđic,Ivanska,Bjelovarsko-bilogorska,45.7910588,16.8422326,,,,0,,,,,,,,,way,1304712154,,,,"[""osm""]"
4865,svetog-duha-dulovac-w777239456,Crkva svetog Duha,crkva,Duh Sveti,christian,roman_catholic,,,Đulovac,Đulovac,Bjelovarsko-bilogorska,45.6625672,17.4289758,"ŽUPA DUHA SVETOGA, ĐULOVAC",,Požeška Biskupija,1,,,,,,,,,way,777239456,,,,"[""osm""]"
5897,dom-molitve-zajednica-dobri-pastir-bjelovar-gudovac-w1195189939,Dom Molitve Zajednica Dobri Pastir Bjelovar,crkva,,christian,,,,Gudovac,Bjelovar,Bjelovarsko-bilogorska,45.883044,16.778594,,,,0,,,,,,,,,way,1195189939,,,,"[""osm""]"
5591,dvorana-jehovinih-svjedoka-bjelovar-w1054392122,Dvorana Jehovinih svjedoka Bjelovar,crkva,,christian,jehovahs_witness,,,Bjelovar,Bjelovar,Bjelovarsko-bilogorska,45.9072416,16.8420525,,,,0,,,,,,,,,way,1054392122,,,,"[""osm""]"
6715,evangelisticka-crkva-velika-brsljanica-w1467767631,Evangelistička crkva Velika Bršljanica,crkva,,christian,evangelical,,,Velika Bršljanica,Garešnica,Bjelovarsko-bilogorska,45.5863876,16.8488116,,,,0,,,,,,,,,way,1467767631,,,,"[""osm""]"
6122,evangelicka-crkva-veliki-zdenci-w1249915131,Evangelička crkva Veliki Zdenci,crkva,,christian,lutheran,,,Veliki Zdenci,Grubišno Polje,Bjelovarsko-bilogorska,45.677756,17.1047968,,,,0,,,,,,,,https://ecrh.hr/veliki-zdenci/,way,1249915131,,,,"[""osm""]"
5551,evandeoska-pentekostna-crkva-bjelovar-w1036269494,Evanđeoska pentekostna crkva Bjelovar,crkva,,christian,pentecostal,,,Bjelovar,Bjelovar,Bjelovarsko-bilogorska,45.9105061,16.8501103,,,,0,,,,,,,,http://site.epc.hr/bjelovar/,way,1036269494,,,,"[""osm""]"
5717,filijalna-kapela-sv-petra-apostola-prgomelje-w1115980271,Filijalna kapela Sv. Petra apostola Prgomelje,kapela,sv. Petar Apostol Prgomelje,christian,,,,Prgomelje,Bjelovar,Bjelovarsko-bilogorska,45.8883662,16.7517167,,,,0,,,,,,,,,way,1115980271,,,,"[""osm""]"
5548,franjevacki-samostan-sv-antun-padovanski-bjelovar-w1036247292,Franjevački samostan sv. Antun Padovanski,samostan,sv. Antun Padovanski,christian,,,,Bjelovar,Bjelovar,Bjelovarsko-bilogorska,45.9021397,16.8461933,FRANJEVAČKI SAMOSTAN,73009210183,Bjelovarsko-križevačka Biskupija,1,,,,,,,,,way,1036247292,,,,"[""osm""]"
3693,kapela-komusevac-w377181464,Kapela,kapela,,christian,,,,Komuševac,Čazma,Bjelovarsko-bilogorska,45.788523,16.629122,ŽUPA SV. MARIJE MAGDALENE,,Bjelovarsko-križevačka Biskupija,0,,,,,,,,,way,377181464,,,,"[""osm""]"
4899,kapela-prnjarovac-w784040261,Kapela,kapela,,christian,,,,Prnjarovac,Čazma,Bjelovarsko-bilogorska,45.7963773,16.5447227,ŽUPA SV. MARIJE MAGDALENE,,Bjelovarsko-križevačka Biskupija,0,,,,,,,,,way,784040261,,,,"[""osm""]"
5535,kapela-pavlovac-w1030335957,Kapela,kapela,,christian,roman_catholic,,,Pavlovac,Veliki Grđevac,Bjelovarsko-bilogorska,45.7175462,17.0484279,,,,0,,,,,,,,,way,1030335957,,,,"[""osm""]"
5648,kapela-ravnes-w1082590763,Kapela,kapela,,christian,,,,Ravneš,Šandrovac,Bjelovarsko-bilogorska,45.8676145,17.0110985,ŽUPA POHODA B. D. MARIJE,97559681882,Bjelovarsko-križevačka Biskupija,0,,,,,,,,,way,1082590763,,,,"[""osm""]"
5838,kapela-daruvar-w1172715123,Kapela,kapela,,christian,,,,Daruvar,Daruvar,Bjelovarsko-bilogorska,45.5877364,17.2282573,,,,0,,,,,,,,,way,1172715123,,,,"[""osm""]"
6564,kapela-nova-raca-w1410164807,Kapela,kapela,,christian,,,,Nova Rača,Nova Rača,Bjelovarsko-bilogorska,45.7967396,16.9592522,ŽUPA UZNESENJA B. D. MARIJE,86849702385,Bjelovarsko-križevačka Biskupija,0,,,,,,,,,way,1410164807,,,,"[""osm""]"
6224,majke-bozje-goricke-zrinski-topolovac-w1300128768,Kapela Majke Božje Goričke,kapela,Majka Božja,christian,,,,Zrinski Topolovac,Zrinski Topolovac,Bjelovarsko-bilogorska,46.031537,16.753296,ŽUPA SV. MIHAELA ARKANĐELA,,Bjelovarsko-križevačka Biskupija,0,,,,,,,,,way,1300128768,,,,"[""osm""]"
6290,sv-ilije-berek-w1326227427,Kapela sv. Ilije,kapela,sv. Ilije,christian,,,,Berek,Berek,Bjelovarsko-bilogorska,45.7240947,16.8181968,,,,0,,,,,,,,,way,1326227427,,,,"[""osm""]"
6289,sv-mihaela-berek-w1326227397,Kapela sv. Mihaela,kapela,sv. Mihael,christian,,,,Berek,Berek,Bjelovarsko-bilogorska,45.741656,16.8302745,,,,0,,,,,,,,,way,1326227397,,,,"[""osm""]"
6228,sv-simuna-daruvar-w1300650066,Kapela sv. Simuna,kapela,sv. Šimun,christian,pentecostal,,,Daruvar,Daruvar,Bjelovarsko-bilogorska,45.5914717,17.2233271,,,,0,,,,,,,,,way,1300650066,,,,"[""osm""]"
5614,kapelica-bjelovar-w1062388699,Kapelica,kapela,,christian,,,,Bjelovar,Bjelovar,Bjelovarsko-bilogorska,45.8785766,16.809643,,,,0,,,,,,,,,way,1062388699,,,,"[""osm""]"
6534,kapelica-zrinski-topolovac-w1385633941,Kapelica,kapela,,christian,,,,Zrinski Topolovac,Zrinski Topolovac,Bjelovarsko-bilogorska,46.0226164,16.7407353,ŽUPA SV. MIHAELA ARKANĐELA,,Bjelovarsko-križevačka Biskupija,0,,,,,,,,,way,1385633941,,,,"[""osm""]"
5664,kapelica-majke-bozje-zalosne-veliko-trojstvo-w1087350824,Kapelica Majke Božje Žalosne,kapela,Majka Božja,christian,,,,Veliko Trojstvo,Veliko Trojstvo,Bjelovarsko-bilogorska,45.9244768,16.9266505,ŽUPA PRESVETOG TROJSTVA,38117064276,Bjelovarsko-križevačka Biskupija,0,,,,,,,,,way,1087350824,,,,"[""osm""]"
5567,kapelica-sv-ivan-krstitelj-zdralovi-w1047516811,Kapelica sv. Ivan Krstitelj,kapela,sv. Ivan Krstitelj,christian,,,,Ždralovi,Bjelovar,Bjelovarsko-bilogorska,45.8882813,16.8710172,,,,0,,,,,,,,,way,1047516811,,,,"[""osm""]"
1139,kapelica-sv-ivana-krstitelja-zdralovi-n12480392278,Kapelica sv. Ivana Krstitelja,kapela,sv. Ivan Krstitelj,christian,roman_catholic,,,Ždralovi,Bjelovar,Bjelovarsko-bilogorska,45.8882799,16.871015,ŽUPA SVETOG IVANA KRSTITELJA,75103998353,Bjelovarsko-križevačka Biskupija,1,,,,,,,,,node,12480392278,,,,"[""osm""]"
3383,krscanska-adventisticka-crkva-gornja-kovacica-w315618957,Kršćanska adventistička crkva,crkva,,christian,evangelical,,,Gornja Kovačica,Veliki Grđevac,Bjelovarsko-bilogorska,45.7736128,17.1057188,,,,0,,,,,,,,,way,315618957,,,,"[""osm""]"
5637,krscanska-adventisticka-crkva-bjelovar-w1077204975,Kršćanska adventistička crkva Bjelovar,crkva,,christian,adventist,Trg Antuna Gustava Matoša 7,,Bjelovar,Bjelovar,Bjelovarsko-bilogorska,45.8944346,16.8382928,,,,0,,,,,,,,,way,1077204975,,,,"[""osm""]"
6219,krscanska-adventisticka-crkva-grubisno-polje-w1297313989,Kršćanska adventistička crkva Grubišno Polje,crkva,,christian,seventh_day_adventist,,,Grubišno Polje,Grubišno Polje,Bjelovarsko-bilogorska,45.7041589,17.1681631,,,,0,,,,,,,,https://adventisti.hr,way,1297313989,,,,"[""osm""]"
5756,krscanska-adventisticka-crkva-daruvar-w1125100622,Krščanska adventistička crkva Daruvar,crkva,,christian,seventh_day_adventist,,,Daruvar,Daruvar,Bjelovarsko-bilogorska,45.5896349,17.2230316,,,,0,,,,,,,,,way,1125100622,,,,"[""osm""]"
2268,manastir-pakra-donji-borki-w172074517,Manastir Pakra,samostan,,christian,serbian_orthodox,,,Donji Borki,Sirač,Bjelovarsko-bilogorska,45.553791,17.3370346,"ŽUPA POHODA BDM, SIRAČ",,Požeška Biskupija,0,,,1556,,,,,,way,172074517,Q4301496,https://hr.wikipedia.org/wiki/Manastir_Pakra,https://commons.wikimedia.org/wiki/Special:FilePath/43500%2C%20Donji%20Borki%2C%20Croatia%20-%20panoramio%20%281%29.jpg,"[""osm"", ""wikidata""]"
6845,manastir-sv-ane-u-donjoj-vrijeskoj-donja-vrijeska-q3448803,Manastir Sv. Ane u Donjoj Vrijeskoj,samostan,sv. Ana,christian,,,,Donja Vrijeska,Đulovac,Bjelovarsko-bilogorska,45.651741666,17.27025,"ŽUPA DUHA SVETOGA, ĐULOVAC",,Požeška Biskupija,0,ROS-0040-1969.,zaštićeno kulturno dobro,15. st. do 20. st.,,,,,,,,Q3448803,https://hr.wikipedia.org/wiki/Crkva_sv._Ane_u_Donjoj_Vrijeski,https://commons.wikimedia.org/wiki/Special:FilePath/Church%20of%20St.%20Anne%20after%20the%20restoration%20of%201904-1907.jpg,"[""wikidata"", ""kulturna-dobra""]"
5682,narcanska-parohija-narta-w1095230013,Narćanska parohija,crkva,,christian,,,,Narta,Štefanje,Bjelovarsko-bilogorska,45.8340432,16.8109334,,,,0,,,,,,,,,way,1095230013,,,,"[""osm""]"
5665,parohijska-crkva-sv-pavla-novi-pavljani-w1087584433,Parohijska crkva Sv. Pavla,pravoslavna-crkva,sv. Pavao,christian,orthodox,,,Novi Pavljani,Bjelovar,Bjelovarsko-bilogorska,45.8569645,16.8473672,,,,0,Z-2112,zaštićeno kulturno dobro,14. st. do 18. st.,,,,,,way,1087584433,,,,"[""osm"", ""kulturna-dobra""]"
6585,parohijski-dom-novi-pavljani-w1418721609,Parohijski dom,crkva,,christian,,,,Novi Pavljani,Bjelovar,Bjelovarsko-bilogorska,45.8565482,16.8467179,,,,0,,,,,,,,,way,1418721609,,,,"[""osm""]"
6615,parohijski-dom-bedenik-w1430417227,Parohijski dom Bedenik,crkva,,christian,,,,Bedenik,Nova Rača,Bjelovarsko-bilogorska,45.8293201,17.0120937,ŽUPA UZNESENJA B. D. MARIJE,86849702385,Bjelovarsko-križevačka Biskupija,0,,,,,,,,,way,1430417227,,,,"[""osm""]"
6720,parohijski-dom-uljanik-w1467789317,Parohijski dom Uljanik,crkva,,christian,,,,Uljanik,Garešnica,Bjelovarsko-bilogorska,45.5333629,17.0223876,,,,0,,,,,,,,,way,1467789317,,,,"[""osm""]"
6417,poklonac-veliki-grdevac-w1354812754,Poklonac,poklonac,,christian,,,,Veliki Grđevac,Veliki Grđevac,Bjelovarsko-bilogorska,45.7547681,17.0496513,,,,0,,,,,,,,,way,1354812754,,,,"[""osm""]"
6611,poklonac-pobjenik-w1427476905,Poklonac,poklonac,,christian,,,,Pobjenik,Čazma,Bjelovarsko-bilogorska,45.706093,16.6134401,ŽUPA SV. MARIJE MAGDALENE,,Bjelovarsko-križevačka Biskupija,0,,,,,,,,,way,1427476905,,,,"[""osm""]"
6557,sv-mariji-cazma-w1396067421,Poklonac sv. Mariji,poklonac,sv. Mariji,christian,,,,Čazma,Čazma,Bjelovarsko-bilogorska,45.7609032,16.6332933,ŽUPA SV. MARIJE MAGDALENE,,Bjelovarsko-križevačka Biskupija,0,,,,,,,,,way,1396067421,,,,"[""osm""]"
